age,gender,education_level,marital_status,monthly_income,existing_credit_limit,credit_score_raw,credit_approved,recommended_limit
39,Female,High School,Married,28218.3,11900.0,45.0,1,13100.0
45,Female,High School,Married,24164.32,45900.0,57.0,1,37900.0
36,Male,High School,Married,44493.4,83700.0,57.0,1,78000.0
51,Male,Bachelor,Single,36995.05,34700.0,60.0,1,43400.0
33,Male,Bachelor,Single,37161.54,58600.0,65.0,1,73200.0
65,Female,Bachelor,Single,81788.7,101800.0,76.0,1,132300.0
42,Female,High School,Married,127929.73,81800.0,66.0,1,102200.0
26,Female,High School,Single,124761.2,221700.0,65.0,1,277100.0
24,Male,High School,Married,43830.34,0.0,36.0,0,0.0
41,Male,Bachelor,Married,124810.32,129300.0,81.0,1,181000.0
33,Male,High School,Married,197265.12,281300.0,77.0,1,365700.0
43,Male,Bachelor,Divorced,29080.08,20400.0,58.0,1,23500.0
41,Male,Bachelor,Married,168618.72,72900.0,75.0,1,94800.0
35,Male,High School,Single,200891.21,176600.0,70.0,1,229600.0
26,Female,High School,Married,77251.74,162400.0,66.0,1,142500.0
19,Male,Bachelor,Single,28127.23,0.0,44.0,0,0.0
31,Female,High School,Single,78559.67,0.0,46.0,1,117800.0
45,Male,Bachelor,Married,33834.75,14800.0,55.0,1,17000.0
38,Female,Bachelor,Single,320046.66,679300.0,90.0,1,1019000.0
22,Female,High School,Married,12918.35,21500.0,46.0,1,23700.0
37,Female,Bachelor,Married,105130.67,52200.0,69.0,1,65200.0
40,Female,Master,Married,10759.7,0.0,46.0,1,16100.0
26,Female,Bachelor,Single,19906.92,28700.0,54.0,1,33000.0
37,Female,PhD,Married,153943.61,92900.0,87.0,1,130100.0
36,Male,High School,Single,116401.69,0.0,52.0,1,174600.0
23,Female,Bachelor,Single,41249.01,0.0,44.0,1,61900.0
39,Female,Bachelor,Married,363413.27,0.0,70.0,1,545100.0
42,Female,Master,Married,102398.32,154100.0,84.0,1,215700.0
47,Male,High School,Married,154231.87,96900.0,72.0,1,126000.0
47,Male,High School,Single,58152.69,0.0,46.0,1,87200.0
20,Female,High School,Divorced,282781.66,118600.0,57.0,1,136400.0
25,Female,Master,Single,128713.03,275400.0,83.0,1,385600.0
41,Male,High School,Married,144016.54,0.0,54.0,1,216000.0
41,Male,Master,Single,29984.04,15600.0,63.0,1,19500.0
41,Male,High School,Married,48296.43,0.0,48.0,1,72400.0
70,Male,High School,Married,150538.51,183900.0,74.0,1,239100.0
42,Male,High School,Married,88225.69,79600.0,66.0,1,99500.0
48,Male,Bachelor,Single,150108.1,267400.0,85.0,1,374400.0
46,Female,Master,Married,298713.17,622000.0,95.0,1,899400.0
43,Male,High School,Married,104725.94,0.0,54.0,1,157100.0
32,Male,Master,Married,36379.09,32800.0,65.0,1,41000.0
44,Female,High School,Single,17333.04,0.0,31.0,0,0.0
27,Female,Bachelor,Married,36231.32,47100.0,63.0,1,58900.0
33,Female,Bachelor,Single,85154.09,26300.0,67.0,1,32900.0
30,Male,High School,Single,18595.84,34000.0,48.0,1,37400.0
36,Female,High School,Single,40018.2,15700.0,43.0,0,15700.0
61,Male,High School,Single,29206.79,0.0,35.0,0,0.0
18,Female,High School,Married,114333.75,248000.0,72.0,1,322400.0
43,Female,Master,Married,12481.37,26200.0,68.0,1,26300.0
18,Male,Master,Married,19340.45,32100.0,59.0,1,36900.0
30,Male,Bachelor,Married,76436.48,143200.0,75.0,1,186200.0
47,Male,Bachelor,Married,29868.16,45500.0,67.0,1,52000.0
36,Female,High School,Married,25245.44,29400.0,57.0,1,33800.0
24,Male,High School,Divorced,41473.35,0.0,32.0,0,0.0
28,Female,Bachelor,Married,62292.51,143200.0,76.0,1,186200.0
43,Male,Bachelor,Married,12276.99,28000.0,65.0,1,23900.0
27,Male,Bachelor,Married,102996.96,0.0,60.0,1,154500.0
38,Female,Bachelor,Single,21036.16,48500.0,63.0,1,50000.0
36,Female,High School,Married,208635.92,413500.0,77.0,1,537600.0
28,Female,High School,Single,61185.31,0.0,42.0,1,91800.0
59,Male,Bachelor,Married,146897.23,325600.0,83.0,1,409500.0
42,Male,Bachelor,Married,31385.76,27800.0,62.0,1,34800.0
18,Male,Bachelor,Married,66485.72,143500.0,76.0,1,186600.0
38,Male,High School,Married,162235.96,248900.0,77.0,1,323600.0
28,Male,High School,Married,89965.55,0.0,50.0,1,134900.0
45,Female,High School,Married,66024.8,37700.0,60.0,1,47100.0
27,Male,Bachelor,Divorced,30713.02,66700.0,64.0,1,69100.0
34,Male,Bachelor,Married,31355.55,31300.0,62.0,1,39100.0
41,Male,High School,Married,30489.5,23300.0,52.0,1,26800.0
45,Male,Bachelor,Married,284229.7,603300.0,92.0,1,792400.0
22,Female,Bachelor,Married,59989.87,21500.0,59.0,1,24700.0
32,Male,High School,Single,15551.4,0.0,31.0,0,0.0
30,Male,High School,Single,87545.57,120900.0,69.0,1,151100.0
28,Male,High School,Married,57879.59,130600.0,66.0,1,106800.0
55,Female,High School,Married,17822.5,22300.0,50.0,1,25600.0
40,Female,Bachelor,Married,66912.01,0.0,58.0,1,100400.0
22,Female,High School,Married,38845.12,53500.0,53.0,1,61500.0
46,Male,High School,Single,32862.72,55300.0,55.0,1,62800.0
59,Male,High School,Married,52224.4,116000.0,67.0,1,81900.0
47,Female,High School,Married,42065.63,87300.0,62.0,1,66000.0
19,Female,PhD,Divorced,37542.64,75500.0,69.0,1,94400.0
30,Female,High School,Married,137328.37,0.0,54.0,1,206000.0
49,Female,Bachelor,Married,41114.93,0.0,50.0,1,61700.0
28,Male,High School,Married,88928.35,198600.0,72.0,1,258200.0
40,Female,Master,Single,126845.94,250500.0,82.0,1,350700.0
44,Female,Master,Married,30120.41,61600.0,75.0,1,80100.0
25,Female,High School,Single,19043.11,0.0,27.0,0,0.0
35,Male,Bachelor,Married,130914.5,138100.0,81.0,1,193300.0
18,Male,High School,Single,48859.6,117200.0,64.0,1,109900.0
24,Male,High School,Married,121897.34,71900.0,62.0,1,89900.0
33,Male,High School,Married,40598.54,90600.0,62.0,1,71200.0
22,Male,High School,Married,153602.48,0.0,56.0,1,230400.0
53,Female,High School,Divorced,20354.12,31000.0,46.0,1,34100.0
20,Male,High School,Married,103196.39,161400.0,67.0,1,190400.0
31,Male,High School,Married,111952.95,264200.0,76.0,1,314000.0
37,Male,Bachelor,Married,54663.09,49200.0,70.0,1,64000.0
51,Male,High School,Married,88709.98,108800.0,71.0,1,141400.0
20,Female,High School,Single,25885.26,16000.0,46.0,1,17600.0
48,Male,Bachelor,Single,35752.39,0.0,48.0,1,53600.0
36,Male,High School,Single,73481.11,85300.0,63.0,1,106600.0
25,Female,High School,Married,72850.2,93100.0,61.0,1,116400.0
41,Female,High School,Married,332165.87,150700.0,65.0,1,188400.0
38,Male,Bachelor,Married,133552.95,284900.0,86.0,1,398900.0
29,Female,High School,Married,23924.83,25800.0,53.0,1,29700.0
36,Female,Master,Married,76555.62,0.0,61.0,1,114800.0
31,Female,High School,Married,13373.26,22600.0,50.0,1,23400.0
37,Male,High School,Married,23745.05,0.0,40.0,1,35600.0
43,Female,High School,Single,25905.08,0.0,38.0,1,22100.0
53,Male,PhD,Married,243188.31,129000.0,87.0,1,180600.0
22,Male,Bachelor,Married,31946.11,14500.0,51.0,1,16700.0
59,Male,High School,Married,20335.88,31600.0,47.0,1,31900.0
18,Male,High School,Married,16438.03,8400.0,41.0,0,8400.0
34,Female,Bachelor,Single,66238.53,77900.0,73.0,1,101300.0
42,Male,High School,Single,26398.93,58800.0,60.0,1,56400.0
39,Male,Bachelor,Married,176333.64,82900.0,75.0,1,107800.0
29,Male,Bachelor,Married,85883.22,148700.0,77.0,1,193300.0
33,Male,High School,Single,40769.78,50700.0,55.0,1,58300.0
30,Female,High School,Single,59541.81,130500.0,68.0,1,127300.0
29,Female,Bachelor,Single,34917.44,67500.0,61.0,1,84400.0
45,Female,Bachelor,Married,62498.11,35000.0,70.0,1,45500.0
39,Female,Master,Married,63131.14,0.0,61.0,1,94700.0
28,Female,High School,Married,48245.91,0.0,44.0,1,72400.0
45,Female,Bachelor,Widowed,102604.01,69500.0,73.0,1,90400.0
39,Male,High School,Single,176505.19,364300.0,80.0,1,510000.0
44,Female,High School,Single,72453.77,60500.0,58.0,1,69600.0
42,Female,Bachelor,Married,181388.11,385800.0,92.0,1,565200.0
26,Female,Bachelor,Married,19710.23,17500.0,51.0,1,20100.0
29,Female,High School,Married,97833.75,0.0,50.0,1,146800.0
44,Female,Bachelor,Married,18497.87,0.0,43.0,1,27700.0
42,Female,Bachelor,Single,36279.53,61700.0,65.0,1,77100.0
35,Female,High School,Married,95665.61,142300.0,71.0,1,185000.0
37,Male,Master,Married,34211.6,13900.0,58.0,1,16000.0
50,Male,Bachelor,Single,23091.01,0.0,48.0,1,34600.0
29,Female,Bachelor,Single,23480.96,13400.0,56.0,1,15400.0
42,Male,Bachelor,Married,23177.11,15100.0,62.0,1,18900.0
33,Female,Bachelor,Single,13065.29,0.0,41.0,1,19600.0
33,Female,Master,Married,40440.69,24200.0,65.0,1,30200.0
48,Female,High School,Married,61310.46,0.0,48.0,1,92000.0
45,Female,High School,Single,73779.22,0.0,46.0,1,110700.0
44,Male,Master,Married,50618.21,110900.0,83.0,1,155300.0
50,Female,Bachelor,Married,43455.89,58800.0,67.0,1,73500.0
36,Male,High School,Single,135381.67,0.0,52.0,1,203100.0
43,Male,High School,Married,22565.68,32900.0,57.0,1,37800.0
32,Male,Bachelor,Married,16448.88,36100.0,65.0,1,32000.0
39,Female,High School,Single,106607.71,240700.0,74.0,1,312900.0
34,Female,High School,Single,53811.74,58300.0,63.0,1,72900.0
37,Female,High School,Married,312082.39,553700.0,77.0,1,719800.0
42,Male,Bachelor,Married,27206.82,12100.0,55.0,1,13900.0
26,Male,High School,Married,54629.15,76400.0,61.0,1,95500.0
59,Male,Bachelor,Single,16491.52,13200.0,50.0,1,15200.0
24,Male,Bachelor,Divorced,111191.35,106500.0,68.0,1,133100.0
22,Female,Bachelor,Married,24541.79,0.0,46.0,1,36800.0
48,Male,High School,Married,14899.08,0.0,33.0,0,0.0
44,Female,High School,Married,10623.98,22400.0,55.0,1,18600.0
42,Female,High School,Married,85739.54,97900.0,71.0,1,127300.0
42,Female,Bachelor,Widowed,32385.36,43700.0,64.0,1,54600.0
35,Male,Bachelor,Single,182880.83,406600.0,90.0,1,609900.0
26,Female,High School,Married,110218.69,53100.0,55.0,1,61100.0
36,Male,Bachelor,Married,176203.61,0.0,70.0,1,264300.0
28,Male,Bachelor,Married,134675.18,90500.0,72.0,1,117600.0
46,Male,High School,Married,122300.07,111700.0,66.0,1,139600.0
34,Female,High School,Married,118360.04,0.0,54.0,1,177500.0
26,Male,Master,Divorced,127527.36,0.0,59.0,1,191300.0
32,Male,Bachelor,Divorced,109058.8,87900.0,72.0,1,114300.0
40,Male,PhD,Single,39229.92,0.0,53.0,1,58800.0
29,Male,High School,Single,33691.02,12000.0,39.0,0,12000.0
26,Male,Master,Married,78814.52,78500.0,69.0,1,98100.0
38,Female,High School,Divorced,13052.58,24300.0,46.0,1,25100.0
38,Female,High School,Married,22033.41,27700.0,57.0,1,31900.0
30,Female,Bachelor,Single,88480.31,186800.0,84.0,1,261500.0
30,Female,High School,Married,68042.97,89200.0,65.0,1,111500.0
38,Female,Bachelor,Single,48588.27,108200.0,78.0,1,140700.0
20,Male,High School,Married,202825.27,236900.0,73.0,1,308000.0
20,Female,Master,Married,64560.52,70700.0,74.0,1,91900.0
28,Female,Bachelor,Married,37991.08,32900.0,58.0,1,37800.0
33,Male,Master,Divorced,31122.76,41000.0,66.0,1,51200.0
39,Female,High School,Married,40863.51,0.0,40.0,0,0.0
52,Female,Bachelor,Single,29568.37,0.0,48.0,1,44400.0
45,Female,High School,Married,10547.26,7200.0,45.0,1,7900.0
34,Female,Bachelor,Married,22190.7,51800.0,72.0,1,67300.0
35,Male,Bachelor,Married,167349.99,214700.0,87.0,1,300600.0
24,Female,High School,Married,89300.8,70500.0,62.0,1,88100.0
35,Male,High School,Married,50975.95,120600.0,70.0,1,143000.0
32,Female,Bachelor,Divorced,95583.67,121300.0,77.0,1,157700.0
39,Female,Bachelor,Married,43031.38,0.0,50.0,1,64500.0
26,Female,High School,Widowed,49534.04,104600.0,63.0,1,98100.0
41,Male,Bachelor,Single,12740.85,17800.0,58.0,1,20500.0
52,Male,Bachelor,Married,162148.24,118800.0,82.0,1,166300.0
34,Male,Bachelor,Single,44953.64,80800.0,65.0,1,101000.0
40,Male,High School,Single,33178.32,81600.0,60.0,1,70900.0
43,Female,Bachelor,Married,26847.73,13000.0,55.0,1,14900.0
31,Female,Bachelor,Single,166294.62,208800.0,85.0,1,292300.0
38,Female,Bachelor,Single,14731.74,21100.0,58.0,1,24300.0
36,Female,Master,Single,114537.8,0.0,65.0,1,171800.0
37,Male,High School,Married,33279.58,26700.0,52.0,1,30700.0
27,Male,High School,Single,41683.36,0.0,34.0,0,0.0
36,Male,High School,Married,27359.02,52900.0,57.0,1,48000.0
41,Female,High School,Married,31748.19,56300.0,57.0,1,55600.0
51,Female,High School,Married,64990.97,54600.0,60.0,1,68200.0
46,Female,Bachelor,Single,82474.39,35100.0,67.0,1,43900.0
59,Male,Bachelor,Married,37548.12,77400.0,69.0,1,65400.0
27,Male,High School,Married,39951.19,71900.0,53.0,1,73700.0
45,Female,High School,Married,37947.87,84800.0,62.0,1,59500.0
38,Male,High School,Married,35631.55,0.0,40.0,1,53400.0
60,Female,Master,Single,50958.41,0.0,56.0,1,76400.0
27,Male,Master,Married,82482.71,53700.0,75.0,1,69800.0
26,Male,High School,Single,17287.34,30900.0,44.0,1,34000.0
29,Female,Bachelor,Married,76552.72,65000.0,66.0,1,81200.0
18,Male,High School,Single,80043.66,0.0,48.0,1,120100.0
30,Female,High School,Married,29169.1,54600.0,57.0,1,51100.0
27,Female,High School,Married,64679.15,136800.0,66.0,1,119300.0
37,Male,Bachelor,Widowed,138716.16,319500.0,83.0,1,447300.0
39,Female,High School,Divorced,14113.87,6700.0,34.0,0,6700.0
56,Female,High School,Widowed,113268.31,0.0,48.0,1,169900.0
46,Male,High School,Single,79957.47,0.0,46.0,1,119900.0
29,Female,High School,Married,78917.94,32800.0,49.0,1,36100.0
26,Female,Bachelor,Married,82430.97,190100.0,82.0,1,266100.0
41,Male,High School,Married,76351.27,183200.0,70.0,1,214100.0
21,Female,Master,Married,29169.73,21100.0,61.0,1,26400.0
56,Male,High School,Single,119430.2,116900.0,61.0,1,146100.0
48,Female,High School,Married,68750.74,65900.0,60.0,1,82400.0
30,Female,High School,Widowed,82601.8,0.0,51.0,1,123900.0
18,Male,High School,Married,29964.74,0.0,36.0,0,0.0
50,Male,High School,Married,79467.26,121200.0,65.0,1,124600.0
34,Male,High School,Divorced,117512.33,0.0,50.0,1,176300.0
49,Male,Master,Married,14062.3,0.0,46.0,1,21100.0
18,Female,Bachelor,Divorced,157712.93,125100.0,74.0,1,162600.0
29,Female,Master,Married,18142.9,24400.0,59.0,1,28100.0
36,Male,High School,Married,54370.28,65700.0,65.0,1,82100.0
36,Female,Bachelor,Married,41021.49,49200.0,67.0,1,61500.0
31,Female,High School,Married,80307.47,0.0,54.0,1,120500.0
42,Female,Bachelor,Married,19569.02,46500.0,65.0,1,38100.0
24,Female,PhD,Single,66165.8,114700.0,74.0,1,149100.0
34,Female,Bachelor,Married,119577.57,235800.0,81.0,1,330100.0
37,Male,High School,Single,83240.18,83900.0,69.0,1,104900.0
41,Male,High School,Married,17058.56,5100.0,38.0,0,5100.0
43,Female,High School,Married,21171.75,50700.0,55.0,1,37100.0
23,Male,High School,Single,56422.22,125700.0,64.0,1,126900.0
19,Female,High School,Married,21707.52,28400.0,46.0,1,31200.0
50,Female,High School,Married,14550.62,16700.0,50.0,1,19200.0
39,Female,High School,Married,30842.85,39400.0,57.0,1,45300.0
27,Male,High School,Single,27492.78,24500.0,46.0,1,27000.0
53,Male,High School,Married,44195.58,73000.0,57.0,1,69300.0
37,Male,Bachelor,Single,46787.14,114300.0,78.0,1,148600.0
48,Male,High School,Single,32887.23,14700.0,43.0,1,16200.0
36,Male,High School,Single,30406.08,61900.0,60.0,1,65000.0
